m1_source_frame_Msun,m2_source_frame_Msun,Lambda1,Lambda2,Radius1_km,Radius2_km
1.5432363983399435,1.205748641800479,97.06819967656841,248.54119667319856,10.73081062807524,9.358210994429971
1.4825904763980793,1.2531150327487763,19.677666558372007,280.4809729661116,8.186003036737374,9.833988872408256
1.5416128527990411,1.2069403494164472,31.52473866362961,235.51153980922544,9.149590843198638,9.373913698931784
1.5628778295697798,1.1914763203753471,49.57233800466923,409.6817546234354,9.951127817408196,10.10284592949796
1.6562980083210204,1.128266241336376,27.441287828688868,246.9301283365496,9.602853007449406,9.395533941257199
1.5872895608383395,1.1743188136436062,84.8243037176202,455.6847097177526,10.672717814629376,10.204560938717144
1.5159986287596063,1.2265227281354976,88.59151964749017,387.90708626520654,10.344513809827188,10.276094850556664
1.494183249953505,1.2436413562518636,130.01689902269592,298.53347996990414,11.33682952920304,9.806640686942957
1.601521845189758,1.164411674969138,107.78708840908484,734.1347592003124,11.731850298071896,10.727741669512135
1.3705488767075191,1.3536819747857285,196.50442909031065,217.92544980287568,10.564992619581888,10.466459850422636
1.6295700581813124,1.145843691853344,146.3341721479619,1545.8759723623689,12.302083738916004,12.316750389101268
1.6245538181663155,1.1489942244651947,61.21701264497438,746.2744445520874,10.408660784257176,11.154821414172298
1.4208136185136016,1.3064482889506763,597.0319828353852,984.2245806585048,13.132927764322224,12.549854482794316
1.4845066507050884,1.2515298800994064,119.4164384514622,318.3406739750515,10.43542922231399,10.235427732059279
1.5942068432736518,1.1693582904460431,61.340817089606325,229.30669910004417,10.199396934417324,9.366255232659581
1.4577478658719238,1.2738873263787052,325.9466330250626,747.6824507125128,12.118047348757832,12.217568551987908
1.4649214941189628,1.2677322722492912,134.99656910577698,377.5282944283709,10.383232258183108,10.695827415511268
1.585180770386721,1.1757210309504655,109.32572480841424,657.5986820898297,11.805129717916852,10.78940546670834
1.5600401000244508,1.193459991760211,2.470445521116744,296.8306871742679,7.012680613396199,9.822518388252687
1.564680065597745,1.1902143413157655,65.83019522411564,573.551406997003,10.606748577783454,10.957805162982911
1.488559430674598,1.2484521589169246,230.4124455870384,714.7421304383632,12.06004468709292,11.850220832232887
1.5369976038446183,1.2106258545258979,90.76043929513465,457.0135223993077,10.381538457525956,10.606722806929321
1.5739197509003335,1.183735819998565,99.61272025386104,686.378113152444,10.93414973935722,11.16357300492737
1.5584036884084531,1.1948948049819144,83.0427440785416,625.8390852892194,10.541683990489032,10.918739411578988
1.6115690646203789,1.1575649082385175,40.05653861536044,526.4064674545504,10.171922718063016,10.419883036036603
1.5642888838210867,1.190445552557704,94.6308307371253,569.4377332637282,10.494593280952715,10.600018107887937
1.5497516994460496,1.2013143803919324,132.71451262506844,698.2490455567895,11.204176065098014,11.461645515397828
1.500141975373463,1.2388180457362548,104.4060359365289,468.3215058400236,10.850595892748807,10.5050495350985
